ts	phase	decision	why	evidence	result
2026-07-25T03:45:00Z	frame	routed the work to figure-it-out instead of the Feature playbook	it spans two mirrored skill trees, a new asset, a script, a SKILL.md protocol and three sibling-skill docs, which is the cross-cutting case	.cursor/plans/lean-mvp_coaching_layer_a9e65afa.plan.md	playbook phases A-E opened as todos
2026-07-25T03:50:00Z	frame	read every file the plan cites rather than trusting the plan	third attempt at this plan, so the plan itself is suspect evidence	tools/drafts/lean-mvp-coaching/grounding.md	most claims verified, one wrong, one unstated hazard found
2026-07-25T03:52:00Z	frame	confirmed the board machinery is dead, not just unused	plan called it dead; a wrong call here changes whether we delete or rewrite	.cursor/skills/lean-mvp/scripts/_session/constants.py:39, voice.py:123	MATCH_BOARD_ATOMS is empty so the function returns None for all 32 atoms
2026-07-25T03:55:00Z	frame	corrected the plan claim that an unregistered asset is test-caught	the plan justified registering the asset with a test that does not cover lean-mvp	tests/test_story_generation_prompt_skill.py:69, assets/section-map.json	lean-mvp has no declared-assets test and section-map.json is already unregistered
2026-07-25T04:00:00Z	harness	measured the pytest baseline before touching anything	plan claimed 15 pre-existing failures without re-measuring	python -m pytest tests -q	15 failed, 100 passed, all in value-skill and prompt-suite files
2026-07-25T04:05:00Z	harness	wrote demo_turn.py to seed a session and print a real turn payload	needed old-value-vs-new-value evidence a reviewer can re-run, not a claim	tools/drafts/lean-mvp-coaching/demo_turn.py, baseline-C01.json, baseline-MS05.json, baseline-MS12.json	baseline payload is exactly 10 keys with no match_board, confirming the dead code at runtime
2026-07-25T04:10:00Z	design	ran a three-model arena on the payload and asset shape before writing code	three prior plans failed here and the asset schema is a one-way door once 32 entries exist	tools/drafts/lean-mvp-coaching/task-brief.md	two candidates landed and converged, the third had not produced output
2026-07-25T04:35:00Z	design	took candidate 2 as the base and grafted the subprocess payload test from candidate 3	candidate 2 has the smaller payload and no redundant gate discriminator, but it wrongly skipped testing the wiring	tools/drafts/lean-mvp-coaching/synthesis.md	base picked, one graft
2026-07-25T04:38:00Z	design	put the resolver in a new _session/coaching.py instead of voice.py	voice.py says it holds sticky labels and pitch text; asset resolution there makes that docstring a lie and grows the grab-bag	tools/drafts/lean-mvp-coaching/candidate-2/rationale.md	overruled candidate 2
2026-07-25T04:40:00Z	design	cut the warnings and skipped_kb_refs channels both candidates proposed	the coverage test makes an unresolvable ref impossible in a shipped tree and nothing reads the field	tools/drafts/lean-mvp-coaching/synthesis.md	overruled both candidates
2026-07-25T04:45:00Z	design	widen the INVEST rubric from the source doc rather than from scratch	docs/lean-product-playbook-prompt-suite.md:78-85 still holds the definitions the shipped asset dropped when it was compiled	docs/lean-product-playbook-prompt-suite.md:78	restoring lost content, not inventing it
2026-07-25T04:47:00Z	design	forbade gate atoms in a coaching entry's reads list	is_ceremony_answer does not filter "pass mvp-scope gate", so a gate prior would show as evidence the human never gave	runtime.py:133, runtime.py:249	became a test assertion
2026-07-25T04:55:00Z	build	split into unit 1 (knowledge base and reconciliation docs) and unit 2a (code, wiring, test) running in parallel	their file sets are disjoint, so they do not serialize on the mirrored trees	unit briefs in the two subagent prompts	open
2026-07-25T05:20:00Z	design	candidate 1 landed late and carried four things the other two missed, so it is grafted after the fact	dotted kb_refs paths, a why clause per prior, human labels from atom_provenance_label, and the express-pacing hole	tools/drafts/lean-mvp-coaching/candidate-1/design.md	schema change queued as a follow-up unit
2026-07-25T05:22:00Z	design	rejected candidate 1's EMPTY_COACHING status-missing block in favour of coaching null	an empty but present block invites the agent to speak blank fields; null is one unambiguous branch	tools/drafts/lean-mvp-coaching/synthesis.md	kept the base's call
2026-07-25T05:24:00Z	design	dropped the plan's assumption that a coaching entry's priors are always populated	EXPRESS_SPINE mvp-scope is MS01 MS05 MS12, so under express pacing MS05's prior MS04 is never answered and a test asserting prior text would be flaky	constants.py:63	unanswered priors are skipped silently, never narrated
2026-07-25T05:40:00Z	unit-1	restored the six INVEST definitions and added a per-letter check to knowledge-base.json	the shipped asset had truncated the source doc's definitions to bare words, which is what made the MS05 turn teach nothing	skills/lean-mvp/assets/knowledge-base.json	VERIFIED, story-generation test still green because it compares keys only
